site,FD_index,value,Elev
TAM_06,FDiv,0.636654541,215
TAM_06,FDiv,0.636705738,215
TAM_06,FDiv,0.636719842,215
TAM_06,FDiv,0.636848801,215
TAM_06,FDiv,0.636993556,215
TAM_06,FDiv,0.637013563,215
TAM_06,FDiv,0.63703527,215
TAM_06,FDiv,0.637044456,215
TAM_06,FDiv,0.637076572,215
TAM_06,FDiv,0.637209075,215
TAM_06,FDiv,0.637213317,215
TAM_06,FDiv,0.637239181,215
TAM_06,FDiv,0.637312842,215
TAM_06,FDiv,0.637449006,215
TAM_06,FDiv,0.63745304,215
TAM_06,FDiv,0.637472335,215
TAM_06,FDiv,0.637591912,215
TAM_06,FDiv,0.637667043,215
TAM_06,FDiv,0.637748224,215
TAM_06,FDiv,0.637748224,215
TAM_06,FDiv,0.637753357,215
TAM_06,FDiv,0.637938146,215
TAM_06,FDiv,0.637968767,215
TAM_06,FDiv,0.637971722,215
TAM_06,FDiv,0.638019115,215
TAM_06,FDiv,0.638024206,215
TAM_06,FDiv,0.638086825,215
TAM_06,FDiv,0.638187169,215
TAM_06,FDiv,0.638200806,215
TAM_06,FDiv,0.63826907,215
TAM_06,FDiv,0.638497888,215
TAM_06,FDiv,0.638516673,215
TAM_06,FDiv,0.638542947,215
TAM_06,FDiv,0.638576914,215
TAM_06,FDiv,0.638644609,215
TAM_06,FDiv,0.638720768,215
TAM_06,FDiv,0.638727201,215
TAM_06,FDiv,0.638765592,215
TAM_06,FDiv,0.638766354,215
TAM_06,FDiv,0.638776975,215
TAM_06,FDiv,0.638853127,215
TAM_06,FDiv,0.638854984,215
TAM_06,FDiv,0.638868463,215
TAM_06,FDiv,0.638891735,215
TAM_06,FDiv,0.638934568,215
TAM_06,FDiv,0.6389855,215
TAM_06,FDiv,0.638988787,215
TAM_06,FDiv,0.639013842,215
TAM_06,FDiv,0.639030154,215
TAM_06,FDiv,0.639083768,215
TAM_06,FDiv,0.639129522,215
TAM_06,FDiv,0.639244837,215
TAM_06,FDiv,0.639374777,215
TAM_06,FDiv,0.639438828,215
TAM_06,FDiv,0.639524454,215
TAM_06,FDiv,0.639626367,215
TAM_06,FDiv,0.639630383,215
TAM_06,FDiv,0.639661999,215
TAM_06,FDiv,0.639731605,215
TAM_06,FDiv,0.639742433,215
TAM_06,FDiv,0.63976797,215
TAM_06,FDiv,0.639829284,215
TAM_06,FDiv,0.63986092,215
TAM_06,FDiv,0.6398892,215
TAM_06,FDiv,0.639902071,215
TAM_06,FDiv,0.639995026,215
TAM_06,FDiv,0.640044481,215
TAM_06,FDiv,0.640100766,215
TAM_06,FDiv,0.640114023,215
TAM_06,FDiv,0.640158721,215
TAM_06,FDiv,0.640170776,215
TAM_06,FDiv,0.640174836,215
TAM_06,FDiv,0.640229547,215
TAM_06,FDiv,0.640248281,215
TAM_06,FDiv,0.640393823,215
TAM_06,FDiv,0.640572219,215
TAM_06,FDiv,0.640647304,215
TAM_06,FDiv,0.640675482,215
TAM_06,FDiv,0.64069317,215
TAM_06,FDiv,0.640764286,215
TAM_06,FDiv,0.64077915,215
TAM_06,FDiv,0.640793563,215
TAM_06,FDiv,0.640829872,215
TAM_06,FDiv,0.640853368,215
TAM_06,FDiv,0.640875548,215
TAM_06,FDiv,0.64098878,215
TAM_06,FDiv,0.641061286,215
TAM_06,FDiv,0.641113698,215
TAM_06,FDiv,0.641346666,215
TAM_06,FDiv,0.641372371,215
TAM_06,FDiv,0.641391362,215
TAM_06,FDiv,0.641506474,215
TAM_06,FDiv,0.641552022,215
TAM_06,FDiv,0.64166847,215
TAM_06,FDiv,0.641670104,215
TAM_06,FDiv,0.641679818,215
TAM_06,FDiv,0.641743023,215
TAM_06,FDiv,0.641851462,215
TAM_06,FDiv,0.641974419,215
TAM_06,FDiv,0.64202186,215
TAM_06,FDiv,0.642053546,215
TAM_06,FDiv,0.642059481,215
TAM_06,FDiv,0.642065495,215
TAM_06,FDiv,0.642083759,215
TAM_06,FDiv,0.6421062,215
TAM_06,FDiv,0.6421223,215
TAM_06,FDiv,0.64214502,215
TAM_06,FDiv,0.642149776,215
TAM_06,FDiv,0.642210623,215
TAM_06,FDiv,0.642216626,215
TAM_06,FDiv,0.642222211,215
TAM_06,FDiv,0.642257938,215
TAM_06,FDiv,0.642285716,215
TAM_06,FDiv,0.642295252,215
TAM_06,FDiv,0.642312533,215
TAM_06,FDiv,0.642412263,215
TAM_06,FDiv,0.642440063,215
TAM_06,FDiv,0.642458642,215
TAM_06,FDiv,0.642505532,215
TAM_06,FDiv,0.64259248,215
TAM_06,FDiv,0.642627518,215
TAM_06,FDiv,0.642668769,215
TAM_06,FDiv,0.642751193,215
TAM_06,FDiv,0.642776427,215
TAM_06,FDiv,0.643118885,215
TAM_06,FDiv,0.64318313,215
TAM_06,FDiv,0.643219402,215
TAM_06,FDiv,0.643219736,215
TAM_06,FDiv,0.643296377,215
TAM_06,FDiv,0.643436766,215
TAM_06,FDiv,0.643449649,215
TAM_06,FDiv,0.643455903,215
TAM_06,FDiv,0.643480525,215
TAM_06,FDiv,0.643590212,215
TAM_06,FDiv,0.643592774,215
TAM_06,FDiv,0.643660318,215
TAM_06,FDiv,0.643694139,215
TAM_06,FDiv,0.643782288,215
TAM_06,FDiv,0.64388688,215
TAM_06,FDiv,0.644039737,215
TAM_06,FDiv,0.644168901,215
TAM_06,FDiv,0.644263593,215
TAM_06,FDiv,0.644563921,215
TAM_06,FDiv,0.644630272,215
TAM_06,FDiv,0.644676981,215
TAM_06,FDiv,0.644695162,215
TAM_06,FDiv,0.644811257,215
TAM_06,FDiv,0.644828341,215
TAM_06,FDiv,0.644829865,215
TAM_06,FDiv,0.644908594,215
TAM_06,FDiv,0.644909951,215
TAM_06,FDiv,0.644938132,215
TAM_06,FDiv,0.645033422,215
TAM_06,FDiv,0.645046486,215
TAM_06,FDiv,0.645106978,215
TAM_06,FDiv,0.645129745,215
TAM_06,FDiv,0.645166192,215
TAM_06,FDiv,0.645217638,215
TAM_06,FDiv,0.645244429,215
TAM_06,FDiv,0.64526176,215
TAM_06,FDiv,0.645330669,215
TAM_06,FDiv,0.645338658,215
TAM_06,FDiv,0.645375745,215
TAM_06,FDiv,0.645412698,215
TAM_06,FDiv,0.645435862,215
TAM_06,FDiv,0.645479768,215
TAM_06,FDiv,0.645520335,215
TAM_06,FDiv,0.645605996,215
TAM_06,FDiv,0.645723957,215
TAM_06,FDiv,0.645761481,215
TAM_06,FDiv,0.645812755,215
TAM_06,FDiv,0.645847245,215
TAM_06,FDiv,0.64587396,215
TAM_06,FDiv,0.645964593,215
TAM_06,FDiv,0.645969797,215
TAM_06,FDiv,0.646067811,215
TAM_06,FDiv,0.646084052,215
TAM_06,FDiv,0.646177036,215
TAM_06,FDiv,0.64619256,215
TAM_06,FDiv,0.646256933,215
TAM_06,FDiv,0.646432978,215
TAM_06,FDiv,0.646495877,215
TAM_06,FDiv,0.646688013,215
TAM_06,FDiv,0.646887062,215
TAM_06,FDiv,0.646894795,215
TAM_06,FDiv,0.646991025,215
TAM_06,FDiv,0.64702389,215
TAM_06,FDiv,0.647302135,215
TAM_06,FDiv,0.647361004,215
TAM_06,FDiv,0.647412529,215
TAM_06,FDiv,0.647412529,215
TAM_06,FDiv,0.6474207,215
TAM_06,FDiv,0.647463586,215
TAM_06,FDiv,0.647483672,215
TAM_06,FDiv,0.647538057,215
TAM_06,FDiv,0.647607416,215
TAM_06,FDiv,0.647641348,215
TAM_06,FDiv,0.647667555,215
TAM_06,FDiv,0.647691692,215
TAM_06,FDiv,0.647717086,215
TAM_06,FDiv,0.647720016,215
TAM_06,FDiv,0.647720588,215
TAM_06,FDiv,0.647738311,215
TAM_06,FDiv,0.647856719,215
TAM_06,FDiv,0.647864692,215
TAM_06,FDiv,0.647892983,215
TAM_06,FDiv,0.647910555,215
TAM_06,FDiv,0.64791883,215
TAM_06,FDiv,0.648064082,215
TAM_06,FDiv,0.648067023,215
TAM_06,FDiv,0.648134221,215
TAM_06,FDiv,0.648196847,215
TAM_06,FDiv,0.648266098,215
TAM_06,FDiv,0.648299796,215
TAM_06,FDiv,0.64830843,215
TAM_06,FDiv,0.648370555,215
TAM_06,FDiv,0.648432827,215
TAM_06,FDiv,0.648450593,215
TAM_06,FDiv,0.648466856,215
TAM_06,FDiv,0.648500805,215
TAM_06,FDiv,0.648570004,215
TAM_06,FDiv,0.648699088,215
TAM_06,FDiv,0.648746188,215
TAM_06,FDiv,0.648805236,215
TAM_06,FDiv,0.648825931,215
TAM_06,FDiv,0.648847163,215
TAM_06,FDiv,0.648980099,215
TAM_06,FDiv,0.649077835,215
TAM_06,FDiv,0.649159663,215
TAM_06,FDiv,0.649162098,215
TAM_06,FDiv,0.6492501,215
TAM_06,FDiv,0.649271685,215
TAM_06,FDiv,0.649308943,215
TAM_06,FDiv,0.649340421,215
TAM_06,FDiv,0.649491369,215
TAM_06,FDiv,0.649630358,215
TAM_06,FDiv,0.649644634,215
TAM_06,FDiv,0.649657515,215
TAM_06,FDiv,0.649800753,215
TAM_06,FDiv,0.649859625,215
TAM_06,FDiv,0.64986243,215
TAM_06,FDiv,0.649890878,215
TAM_06,FDiv,0.649908335,215
TAM_06,FDiv,0.649943529,215
TAM_06,FDiv,0.649951328,215
TAM_06,FDiv,0.649973803,215
TAM_06,FDiv,0.650057273,215
TAM_06,FDiv,0.650065323,215
TAM_06,FDiv,0.650103432,215
TAM_06,FDiv,0.650146522,215
TAM_06,FDiv,0.650185764,215
TAM_06,FDiv,0.650189619,215
TAM_06,FDiv,0.650227,215
TAM_06,FDiv,0.65024684,215
TAM_06,FDiv,0.650247828,215
TAM_06,FDiv,0.650432106,215
TAM_06,FDiv,0.650476253,215
TAM_06,FDiv,0.650499547,215
TAM_06,FDiv,0.65061586,215
TAM_06,FDiv,0.650623608,215
TAM_06,FDiv,0.65063573,215
TAM_06,FDiv,0.650639467,215
TAM_06,FDiv,0.650642987,215
TAM_06,FDiv,0.65070792,215
TAM_06,FDiv,0.650859614,215
TAM_06,FDiv,0.650940555,215
TAM_06,FDiv,0.650963685,215
TAM_06,FDiv,0.651017216,215
TAM_06,FDiv,0.651027883,215
TAM_06,FDiv,0.651042063,215
TAM_06,FDiv,0.651082232,215
TAM_06,FDiv,0.651093844,215
TAM_06,FDiv,0.651178504,215
TAM_06,FDiv,0.65121286,215
TAM_06,FDiv,0.651387255,215
TAM_06,FDiv,0.651391881,215
TAM_06,FDiv,0.651418212,215
TAM_06,FDiv,0.651423581,215
TAM_06,FDiv,0.651429275,215
TAM_06,FDiv,0.651478958,215
TAM_06,FDiv,0.651520062,215
TAM_06,FDiv,0.651558575,215
TAM_06,FDiv,0.651628727,215
TAM_06,FDiv,0.651674742,215
TAM_06,FDiv,0.651675592,215
TAM_06,FDiv,0.65195426,215
TAM_06,FDiv,0.651999156,215
TAM_06,FDiv,0.651999595,215
TAM_06,FDiv,0.652020762,215
TAM_06,FDiv,0.65211445,215
TAM_06,FDiv,0.652131494,215
TAM_06,FDiv,0.652148476,215
TAM_06,FDiv,0.652198648,215
TAM_06,FDiv,0.652209089,215
TAM_06,FDiv,0.652221751,215
TAM_06,FDiv,0.652262239,215
TAM_06,FDiv,0.652289912,215
TAM_06,FDiv,0.652303423,215
TAM_06,FDiv,0.652361772,215
TAM_06,FDiv,0.652412864,215
TAM_06,FDiv,0.652436409,215
TAM_06,FDiv,0.652437528,215
TAM_06,FDiv,0.652512857,215
TAM_06,FDiv,0.652573745,215
TAM_06,FDiv,0.652807004,215
TAM_06,FDiv,0.652811174,215
TAM_06,FDiv,0.652820648,215
TAM_06,FDiv,0.652853942,215
TAM_06,FDiv,0.652879221,215
TAM_06,FDiv,0.652913172,215
TAM_06,FDiv,0.652956809,215
TAM_06,FDiv,0.653023205,215
TAM_06,FDiv,0.65313423,215
TAM_06,FDiv,0.653154479,215
TAM_06,FDiv,0.653214097,215
TAM_06,FDiv,0.653243955,215
TAM_06,FDiv,0.653255449,215
TAM_06,FDiv,0.653260822,215
TAM_06,FDiv,0.653288903,215
TAM_06,FDiv,0.653307735,215
TAM_06,FDiv,0.653359867,215
TAM_06,FDiv,0.653404209,215
TAM_06,FDiv,0.65351845,215
TAM_06,FDiv,0.653527785,215
TAM_06,FDiv,0.653545039,215
TAM_06,FDiv,0.653565712,215
TAM_06,FDiv,0.653597046,215
TAM_06,FDiv,0.653612664,215
TAM_06,FDiv,0.653732692,215
TAM_06,FDiv,0.653765743,215
TAM_06,FDiv,0.653778861,215
TAM_06,FDiv,0.653930095,215
TAM_06,FDiv,0.654047411,215
TAM_06,FDiv,0.654048253,215
TAM_06,FDiv,0.654108704,215
TAM_06,FDiv,0.654124438,215
TAM_06,FDiv,0.654129394,215
TAM_06,FDiv,0.654253352,215
TAM_06,FDiv,0.654349611,215
TAM_06,FDiv,0.6544428,215
TAM_06,FDiv,0.654446077,215
TAM_06,FDiv,0.654448235,215
TAM_06,FDiv,0.654467212,215
TAM_06,FDiv,0.654467857,215
