site,fdar_type,replicate,No.pixels,convhull,FDiv,FRic,area_ha,Model,Elev
SPD_02,nnr,1000,912,136.9137455,0.721810186,0.49718,0.3648,Null expectation,1494
SPD_02,nnr,1000,920,137.4492297,0.721721113,0.49912,0.368,Null expectation,1494
SPD_02,nnr,1000,928,138.1265305,0.721761314,0.50158,0.3712,Null expectation,1494
SPD_02,nnr,1000,936,138.6743889,0.721746784,0.50357,0.3744,Null expectation,1494
SPD_02,nnr,1000,944,139.1246027,0.721808076,0.50521,0.3776,Null expectation,1494
SPD_02,nnr,1000,952,139.4343552,0.721818811,0.50633,0.3808,Null expectation,1494
SPD_02,nnr,1000,960,139.7727725,0.721914535,0.50756,0.384,Null expectation,1494
SPD_02,nnr,1000,968,140.1690048,0.721926649,0.509,0.3872,Null expectation,1494
SPD_02,nnr,1000,976,140.6744658,0.721897607,0.51084,0.3904,Null expectation,1494
SPD_02,nnr,1000,984,141.169477,0.721888404,0.51263,0.3936,Null expectation,1494
SPD_02,nnr,1000,992,141.8717826,0.721883549,0.51518,0.3968,Null expectation,1494
SPD_02,nnr,1000,1000,142.4712858,0.72196306,0.51736,0.4,Null expectation,1494
SPD_02,nnr,1000,1008,143.0569723,0.721957119,0.51949,0.4032,Null expectation,1494
SPD_02,nnr,1000,1016,143.7684668,0.721928419,0.52207,0.4064,Null expectation,1494
SPD_02,nnr,1000,1024,144.2133111,0.721892104,0.52369,0.4096,Null expectation,1494
SPD_02,nnr,1000,1032,144.9811066,0.721866646,0.52648,0.4128,Null expectation,1494
SPD_02,nnr,1000,1040,145.2477161,0.721902107,0.52744,0.416,Null expectation,1494
SPD_02,nnr,1000,1048,145.6540462,0.72191672,0.52892,0.4192,Null expectation,1494
SPD_02,nnr,1000,1056,146.3002588,0.721869681,0.53127,0.4224,Null expectation,1494
SPD_02,nnr,1000,1064,146.8982606,0.721815919,0.53344,0.4256,Null expectation,1494
SPD_02,nnr,1000,1072,147.4598335,0.72179216,0.53548,0.4288,Null expectation,1494
SPD_02,nnr,1000,1080,147.7784743,0.721822758,0.53664,0.432,Null expectation,1494
SPD_02,nnr,1000,1088,148.1803299,0.721814247,0.5381,0.4352,Null expectation,1494
SPD_02,nnr,1000,1096,148.5854722,0.721813121,0.53957,0.4384,Null expectation,1494
SPD_02,nnr,1000,1104,148.9437999,0.721817204,0.54087,0.4416,Null expectation,1494
SPD_02,nnr,1000,1112,149.4406681,0.72178057,0.54267,0.4448,Null expectation,1494
SPD_02,nnr,1000,1120,149.8121584,0.721752471,0.54402,0.448,Null expectation,1494
SPD_02,nnr,1000,1128,149.9896063,0.721780259,0.54467,0.4512,Null expectation,1494
SPD_02,nnr,1000,1136,150.4881862,0.721724281,0.54648,0.4544,Null expectation,1494
SPD_02,nnr,1000,1144,151.0860655,0.721641324,0.54865,0.4576,Null expectation,1494
SPD_02,nnr,1000,1152,151.4696416,0.721605098,0.55004,0.4608,Null expectation,1494
SPD_02,nnr,1000,1160,151.9344576,0.721565812,0.55173,0.464,Null expectation,1494
SPD_02,nnr,1000,1168,152.4083542,0.72155653,0.55345,0.4672,Null expectation,1494
SPD_02,nnr,1000,1176,152.8796801,0.721575791,0.55516,0.4704,Null expectation,1494
SPD_02,nnr,1000,1184,153.407346,0.721508474,0.55708,0.4736,Null expectation,1494
SPD_02,nnr,1000,1192,153.9072717,0.721549733,0.55889,0.4768,Null expectation,1494
SPD_02,nnr,1000,1200,154.2469613,0.721539119,0.56013,0.48,Null expectation,1494
SPD_02,nnr,1000,1208,154.4591711,0.72155419,0.5609,0.4832,Null expectation,1494
SPD_02,nnr,1000,1216,154.8711686,0.721574599,0.5624,0.4864,Null expectation,1494
SPD_02,nnr,1000,1224,155.3669419,0.72161278,0.5642,0.4896,Null expectation,1494
SPD_02,nnr,1000,1232,155.8408354,0.721631256,0.56592,0.4928,Null expectation,1494
SPD_02,nnr,1000,1240,156.9406557,0.721590851,0.56991,0.496,Null expectation,1494
SPD_02,nnr,1000,1248,157.4121788,0.721578935,0.57162,0.4992,Null expectation,1494
SPD_02,nnr,1000,1256,157.8176155,0.721577284,0.5731,0.5024,Null expectation,1494
SPD_02,nnr,1000,1264,158.3052964,0.721548292,0.57487,0.5056,Null expectation,1494
SPD_02,nnr,1000,1272,158.7362255,0.72157068,0.57643,0.5088,Null expectation,1494
SPD_02,nnr,1000,1280,159.0978266,0.721588942,0.57775,0.512,Null expectation,1494
SPD_02,nnr,1000,1288,159.3989379,0.721572682,0.57884,0.5152,Null expectation,1494
SPD_02,nnr,1000,1296,160.0744498,0.721539424,0.58129,0.5184,Null expectation,1494
SPD_02,nnr,1000,1304,160.4641728,0.721569134,0.58271,0.5216,Null expectation,1494
SPD_02,nnr,1000,1312,161.2578838,0.721594294,0.58559,0.5248,Null expectation,1494
SPD_02,nnr,1000,1320,161.4003535,0.721679475,0.58611,0.528,Null expectation,1494
SPD_02,nnr,1000,1328,161.8180262,0.721647699,0.58763,0.5312,Null expectation,1494
SPD_02,nnr,1000,1336,162.0966007,0.721662489,0.58864,0.5344,Null expectation,1494
SPD_02,nnr,1000,1344,162.2169752,0.721687758,0.58907,0.5376,Null expectation,1494
SPD_02,nnr,1000,1352,162.610903,0.721682076,0.5905,0.5408,Null expectation,1494
SPD_02,nnr,1000,1360,162.8130097,0.721679764,0.59124,0.544,Null expectation,1494
SPD_02,nnr,1000,1368,163.568329,0.721706881,0.59398,0.5472,Null expectation,1494
SPD_02,nnr,1000,1376,163.7849327,0.721720549,0.59477,0.5504,Null expectation,1494
SPD_02,nnr,1000,1384,164.286365,0.721748859,0.59659,0.5536,Null expectation,1494
SPD_02,nnr,1000,1392,164.6898178,0.7217535,0.59806,0.5568,Null expectation,1494
SPD_02,nnr,1000,1400,165.0488615,0.721797601,0.59936,0.56,Null expectation,1494
SPD_02,nnr,1000,1408,165.4978834,0.721789984,0.60099,0.5632,Null expectation,1494
SPD_02,nnr,1000,1416,165.9981096,0.721801889,0.60281,0.5664,Null expectation,1494
SPD_02,nnr,1000,1424,166.2242018,0.721852957,0.60363,0.5696,Null expectation,1494
SPD_02,nnr,1000,1432,166.6921084,0.72185334,0.60533,0.5728,Null expectation,1494
SPD_02,nnr,1000,1440,167.0950938,0.721866012,0.60679,0.576,Null expectation,1494
SPD_02,nnr,1000,1448,167.3635279,0.721866617,0.60777,0.5792,Null expectation,1494
SPD_02,nnr,1000,1456,167.6847868,0.721896283,0.60893,0.5824,Null expectation,1494
SPD_02,nnr,1000,1464,168.3822039,0.721862852,0.61147,0.5856,Null expectation,1494
SPD_02,nnr,1000,1472,168.7527545,0.721859007,0.61281,0.5888,Null expectation,1494
SPD_02,nnr,1000,1480,169.2808435,0.721831999,0.61473,0.592,Null expectation,1494
SPD_02,nnr,1000,1488,169.5209787,0.721838731,0.6156,0.5952,Null expectation,1494
SPD_02,nnr,1000,1496,169.9396584,0.721775629,0.61712,0.5984,Null expectation,1494
SPD_02,nnr,1000,1504,170.3156453,0.721788695,0.61849,0.6016,Null expectation,1494
SPD_02,nnr,1000,1512,170.8678702,0.721804615,0.62049,0.6048,Null expectation,1494
SPD_02,nnr,1000,1520,171.3975452,0.721798828,0.62242,0.608,Null expectation,1494
SPD_02,nnr,1000,1528,171.9461987,0.721765414,0.62441,0.6112,Null expectation,1494
SPD_02,nnr,1000,1536,172.1407802,0.721734184,0.62512,0.6144,Null expectation,1494
SPD_02,nnr,1000,1544,172.3579339,0.721752011,0.6259,0.6176,Null expectation,1494
SPD_02,nnr,1000,1552,172.584071,0.721774308,0.62673,0.6208,Null expectation,1494
SPD_02,nnr,1000,1560,173.1750946,0.721718174,0.62887,0.624,Null expectation,1494
SPD_02,nnr,1000,1568,173.6443255,0.721737098,0.63058,0.6272,Null expectation,1494
SPD_02,nnr,1000,1576,174.1706249,0.721770104,0.63249,0.6304,Null expectation,1494
SPD_02,nnr,1000,1584,174.408631,0.721764214,0.63335,0.6336,Null expectation,1494
SPD_02,nnr,1000,1592,174.6436812,0.721754839,0.63421,0.6368,Null expectation,1494
SPD_02,nnr,1000,1600,174.8755501,0.721797028,0.63505,0.64,Null expectation,1494
SPD_02,nnr,1000,1608,175.2597244,0.721836422,0.63644,0.6432,Null expectation,1494
SPD_02,nnr,1000,1616,175.771194,0.721868911,0.6383,0.6464,Null expectation,1494
SPD_02,nnr,1000,1624,176.2043854,0.721831039,0.63987,0.6496,Null expectation,1494
SPD_02,nnr,1000,1632,176.4886875,0.721790912,0.64091,0.6528,Null expectation,1494
SPD_02,nnr,1000,1640,176.8818603,0.721759364,0.64233,0.656,Null expectation,1494
SPD_02,nnr,1000,1648,177.0950293,0.721751858,0.64311,0.6592,Null expectation,1494
SPD_02,nnr,1000,1656,177.3305626,0.721717251,0.64396,0.6624,Null expectation,1494
SPD_02,nnr,1000,1664,177.6121424,0.721734583,0.64499,0.6656,Null expectation,1494
SPD_02,nnr,1000,1672,177.8909147,0.721774171,0.646,0.6688,Null expectation,1494
SPD_02,nnr,1000,1680,178.1684114,0.721762511,0.64701,0.672,Null expectation,1494
SPD_02,nnr,1000,1688,178.4211964,0.721782321,0.64793,0.6752,Null expectation,1494
SPD_02,nnr,1000,1696,178.6455371,0.721806795,0.64874,0.6784,Null expectation,1494
SPD_02,nnr,1000,1704,178.9365107,0.721789427,0.6498,0.6816,Null expectation,1494
SPD_02,nnr,1000,1712,179.3048654,0.721774109,0.65113,0.6848,Null expectation,1494
SPD_02,nnr,1000,1720,179.856059,0.721774949,0.65314,0.688,Null expectation,1494
SPD_02,nnr,1000,1728,180.0326072,0.72178545,0.65378,0.6912,Null expectation,1494
SPD_02,nnr,1000,1736,180.1493083,0.721762233,0.6542,0.6944,Null expectation,1494
SPD_02,nnr,1000,1744,180.5252405,0.721783208,0.65557,0.6976,Null expectation,1494
SPD_02,nnr,1000,1752,181.2465365,0.72178126,0.65819,0.7008,Null expectation,1494
SPD_02,nnr,1000,1760,181.6453152,0.721800919,0.65963,0.704,Null expectation,1494
SPD_02,nnr,1000,1768,181.8915912,0.721831031,0.66053,0.7072,Null expectation,1494
SPD_02,nnr,1000,1776,182.2250199,0.721825628,0.66174,0.7104,Null expectation,1494
SPD_02,nnr,1000,1784,182.5358171,0.721826973,0.66287,0.7136,Null expectation,1494
SPD_02,nnr,1000,1792,182.8056829,0.721857661,0.66385,0.7168,Null expectation,1494
SPD_02,nnr,1000,1800,183.1897046,0.721855858,0.66524,0.72,Null expectation,1494
SPD_02,nnr,1000,1808,183.6451304,0.721819149,0.6669,0.7232,Null expectation,1494
SPD_02,nnr,1000,1816,183.8877944,0.721856705,0.66778,0.7264,Null expectation,1494
SPD_02,nnr,1000,1824,184.2440454,0.721880379,0.66907,0.7296,Null expectation,1494
SPD_02,nnr,1000,1832,184.5950549,0.721889157,0.67035,0.7328,Null expectation,1494
SPD_02,nnr,1000,1840,184.7972974,0.72191945,0.67108,0.736,Null expectation,1494
SPD_02,nnr,1000,1848,185.1208273,0.721894571,0.67226,0.7392,Null expectation,1494
SPD_02,nnr,1000,1856,185.6557359,0.721915325,0.6742,0.7424,Null expectation,1494
SPD_02,nnr,1000,1864,185.8782954,0.721887861,0.67501,0.7456,Null expectation,1494
SPD_02,nnr,1000,1872,186.0686424,0.721903703,0.6757,0.7488,Null expectation,1494
SPD_02,nnr,1000,1880,186.3728049,0.721897763,0.6768,0.752,Null expectation,1494
SPD_02,nnr,1000,1888,186.776904,0.72191345,0.67827,0.7552,Null expectation,1494
SPD_02,nnr,1000,1896,187.0839797,0.721917176,0.67939,0.7584,Null expectation,1494
SPD_02,nnr,1000,1904,187.3506264,0.721902566,0.68036,0.7616,Null expectation,1494
